movie_id,movie_name,genre,year,box_office,box_office_source,value_origin,amount_match_project2
tt0157472,Clockstoppers,"Action,Adventure,Comedy",2002,36989956,project_2_override,derived_from_db,True
tt0158371,Sweet and Lowdown,"Comedy,Drama,Music",1999,4197015,project_2_override,derived_from_db,True
tt0159273,Behind Enemy Lines,"Action,Drama,Thriller",2001,58856790,project_2_override,derived_from_db,True
tt0159365,Cold Mountain,"Adventure,Drama,Romance",2003,95636509,project_2_override,derived_from_db,True
tt0160127,Charlie's Angels,"Action,Adventure,Comedy",2000,125305545,project_2_override,derived_from_db,True
tt0161081,What Lies Beneath,"Drama,Horror,Mystery",2000,155464351,project_2_override,derived_from_db,True
tt0161083,What's the Worst That Could Happen?,"Comedy,Crime",2001,32269834,project_2_override,derived_from_db,True
tt0161860,Nowhere in Africa,"Biography,Drama,History",2001,6180200,project_2_override,derived_from_db,True
tt0162222,Cast Away,"Adventure,Drama,Romance",2000,233632142,project_2_override,derived_from_db,True
tt0162661,Sleepy Hollow,"Fantasy,Horror,Mystery",1999,101071502,project_2_override,derived_from_db,True
tt0163025,Jurassic Park III,"Action,Adventure,Sci-Fi",2001,181171875,project_2_override,derived_from_db,True
tt0163187,Runaway Bride,"Comedy,Romance",1999,152257509,project_2_override,derived_from_db,True
tt0163651,American Pie,Comedy,1999,102561004,project_2_override,derived_from_db,True
tt0163978,The Beach,"Adventure,Drama,Romance",2000,39785027,project_2_override,derived_from_db,True
tt0164184,The Sum of All Fears,"Action,Drama,Thriller",2002,118907036,project_2_override,derived_from_db,True
tt0164334,Along Came a Spider,"Crime,Drama,Mystery",2001,74078174,project_2_override,derived_from_db,True
tt0164912,Stuart Little,"Adventure,Comedy,Family",1999,140035367,project_2_override,derived_from_db,True
tt0165982,Sinbad: Legend of the Seven Seas,"Adventure,Animation,Comedy",2003,26483452,project_2_override,derived_from_db,True
tt0166813,Spirit: Stallion of the Cimarron,"Adventure,Animation,Drama",2002,73280117,project_2_override,derived_from_db,True
tt0168786,Antwone Fisher,"Biography,Drama",2002,21078145,project_2_override,derived_from_db,True
tt0169547,American Beauty,Drama,1999,130096601,project_2_override,derived_from_db,True
tt0173840,Final Fantasy: The Spirits Within,"Action,Adventure,Animation",2001,32131830,project_2_override,derived_from_db,True
tt0174480,Autumn in New York,"Drama,Romance",2000,37761915,project_2_override,derived_from_db,True
tt0177789,Galaxy Quest,"Adventure,Comedy,Sci-Fi",1999,71583916,project_2_override,derived_from_db,True
tt0180093,Requiem for a Dream,Drama,2000,3635482,project_2_override,derived_from_db,True
tt0180734,Hardball,"Comedy,Drama,Sport",2001,40222729,project_2_override,derived_from_db,True
tt0181536,Finding Forrester,"Drama,Sport",2000,51804714,project_2_override,derived_from_db,True
tt0181689,Minority Report,"Action,Crime,Mystery",2002,132072926,project_2_override,derived_from_db,True
tt0181739,Osmosis Jones,"Action,Adventure,Animation",2001,13596911,project_2_override,derived_from_db,True
tt0181852,Terminator 3: Rise of the Machines,"Action,Sci-Fi",2003,150371112,project_2_override,derived_from_db,True
tt0181865,Traffic,"Crime,Drama,Thriller",2000,124115725,project_2_override,derived_from_db,True
