imdb_id,title,release_year,country,box_office,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,runtime,genres,imdb_rating,imdb_votes,original_language,production_budget,numbers_flag,api_movie_name,api_genre,api_year,api_box_office,api_box_office_source,api_value_origin,api_amount_match_project2,production_budget_source,budget_available,revenue_available,money_success_ratio,money_success_score
tt0023293,The Old Dark House,1932,Domestic,25678,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,72,"Adventure,Comedy,Drama",7.0,14643,en,,0,The Old Dark House,"Adventure,Comedy,Drama",1932,25678,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt0035423,Kate & Leopold,2001,Domestic,47121859,-1.136078672,0.7817649461214183,-1.196647175,-1.652649757,-0.473412491,0.5826272438333296,3.7860077511954326,0.5592866676271195,-0.24272374,-0.244302157,-0.255450467,-0.606969102,1.335993847440201,-0.267356715,1.832348711251104,0.3017947534776495,-0.53598211,-0.132857213,2.2332062390072545,-0.633498306,-0.906659806,0.3039138199770169,0.077847302,-0.135564578,-0.284978157,0.002654655,1.1992409505136044,-0.930189899,0.6234096076351046,0.6137660681134343,118,"Comedy,Fantasy,Romance",6.4,93555,en,48000000.0,0,Kate & Leopold,"Comedy,Fantasy,Romance",2001,47121859,project_2_override,derived_from_db,True,project_2_data,True,True,0.9817053958333334,-878141.0
tt0044000,The White Sheik,1952,Domestic,50850,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,83,"Comedy,Drama,Romance",7.2,7470,it,,0,The White Sheik,"Comedy,Drama,Romance",1952,50850,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt0045274,Umberto D.,1952,Domestic,71816,-1.970737996,-0.788009615,1.95759734,-1.560225316,0.8030386009883999,-0.471613814,-1.074804788,1.1395123744420952,0.1028446739943087,1.228805065702248,-0.771490034,-1.46048067,-0.303643055,-0.36990193,2.168055865,-0.639346951,0.6232054534414228,-0.199334366,-0.440552501,1.581203805883312,0.249602891,0.286623884,1.1977383610373025,0.4449197811595778,0.1172325038898549,-2.143185075,0.7857007590514788,-0.789378303,2.3126820469181606,-0.975783091,89,Drama,8.1,30490,it,,0,Umberto D.,Drama,1952,71816,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt0046478,Ugetsu,1953,Domestic,11197,0.079388396,-1.233875689,3.4420529878233377,-1.131407879,1.637370218146991,-0.215975574,1.6069535200560718,-1.942068286,-0.134196412,1.2641549691646066,0.8487192751722566,-0.588315387,4.050106140856087,-0.017158475,0.1836117721904735,2.3029750263328386,4.544828414302557,0.5056410342206743,0.9996965365546652,1.821953923204408,0.9707160714464284,2.220205008437212,2.917657704880286,3.1808364540199854,1.1783221091794565,1.4713340953560714,0.7370391941746757,0.7367066085664217,0.6711633738481844,0.6647826139090622,96,"Drama,Fantasy,War",8.1,28064,ja,,0,Ugetsu,"Drama,Fantasy,War",1953,11197,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt0050634,The Cranes Are Flying,1957,Domestic,17923,-0.716139554,-0.533054141,2.7037150952775475,-0.521020554,1.2872462165889025,-0.458453472,1.2379223226253306,0.1014789698269111,-0.153837636,2.692077397789532,0.5109737507369642,-0.136883535,-0.10727914,0.207685298,1.157135684493889,0.7820907591715917,0.9808904394633214,-0.418079498,-0.105609981,-0.816408015,-0.271686904,0.1677330427622436,2.314268340173154,1.8846771129318407,0.04832682,0.004710744,0.3282045552500205,1.1148612316073985,0.1327126296113076,-0.052012467,95,"Drama,Romance,War",8.3,22235,ru,,0,The Cranes Are Flying,"Drama,Romance,War",1957,17923,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt0063032,The Great Silence,1968,Domestic,53074,-1.109177486,-0.316310947,2.5332776060309223,-0.247551153,0.7365046600596791,-0.302326397,-0.37210712,-1.492490019,-0.481745771,-0.167723257,0.4365917021787584,2.79364706,-1.064655488,0.3945470926320673,3.014079610451284,-0.323464593,0.6253646756099399,-0.999823331,-0.572584949,0.2638271121721131,-0.626639518,2.503755388988565,2.619666425968066,1.857254231099235,0.5979386940690239,1.3859237868186802,-0.011103505,1.128233765524758,1.6254579626699903,-0.897840739,105,"Drama,Western",7.7,20225,it,,0,The Great Silence,"Drama,Western",1968,53074,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt0063823,Yellow Submarine,1968,Domestic,992305,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,85,"Adventure,Animation,Comedy",7.4,29655,en,250000.0,0,Yellow Submarine,"Adventure,Animation,Comedy",1968,992305,project_2_override,derived_from_db,True,project_2_data,True,True,3.96922,742305.0
tt0064603,The Love Bug,1968,Domestic,51264000,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,108,"Comedy,Family,Sport",6.5,18915,en,,0,The Love Bug,"Comedy,Family,Sport",1968,51264000,project_2_override,derived_from_db,True,missing_from_source,False,True,,
tt0065207,Where Eagles Dare,1968,Domestic,7100000,2.5725971387486704,0.2586122078804954,0.53139015,-0.512682978,0.1863614605387679,1.4727325402977434,1.1261160202560752,0.9441932318878652,6.184417925,0.1790064549110731,0.0124902,4.143810076024474,1.1971161630941531,-1.195210205,-1.011516966,0.3876135356150106,-1.017803346,-0.20910151,2.319321792741218,0.6227245146199317,1.6994043756538568,-1.2400919,-1.44012007,1.6789210167165156,-0.236444293,-0.057033046,1.8933165097880071,-0.555943764,-2.748821721,2.478084866234729,158,"Action,Adventure,War",7.6,67459,en,7700000.0,0,Where Eagles Dare,"Action,Adventure,War",1968,7100000,project_2_override,derived_from_db,True,project_2_data,True,True,0.922077922077922,-600000.0
