Metric,Baseline A,Baseline B
Sample Size,3438.0,2694.0
Predictors,377.0,363.0
In-sample R²,0.509071739103303,0.5886738779569054
Adjusted R²,0.4485880938882524,0.5245917396300198
CV R² Mean,0.36306443437752933,0.4370971532444138
CV R² Std,0.028511889966646844,0.06949102439996736
RMSE (log),1.9480017805378358,1.4298276946364425
