Factor,OLS,Ridge,Pct_Change,Dir_Match,Stability
Factor_3,0.3724848808510586,-0.0735020869051831,119.73290479260382,NO,UNSTABLE
Factor_1,0.279988476168201,0.3567031299665492,27.39921829934973,YES,STABLE
Factor_4,-0.24575916690653843,-0.2563345531928265,4.3031502830207184,YES,STABLE
Factor_0,0.2396071470086687,0.25363071233897666,5.852732485396443,YES,STABLE
Factor_28,-0.23782808864577332,-0.22586512556443433,5.030088392610723,YES,STABLE
Factor_2,-0.2344532624173472,-0.2888575139177552,23.204732124206362,YES,STABLE
Factor_23,0.23288827989663785,0.19207677153310979,17.524071362303555,YES,STABLE
Factor_26,0.2214819191807289,-0.014539148940303502,106.56448571246106,NO,UNSTABLE
Factor_5,0.21692396879046338,0.17907325455361242,17.448839078457333,YES,STABLE
Factor_6,0.2167515442523935,0.20761807834082927,4.213795081860595,YES,STABLE
Factor_8,-0.21239114091928446,-0.1508058918849225,28.996147752587458,YES,STABLE
Factor_24,0.21061135548865484,0.22753616213179217,8.036037090150648,YES,STABLE
Factor_15,0.20369410145428102,0.19935906690700886,2.1282081888096083,YES,STABLE
Factor_21,0.18961427023919053,0.23187804525211847,22.28934296960558,YES,STABLE
Factor_14,0.17026836841324766,0.07863181988442493,53.81889154327093,YES,UNSTABLE
Factor_7,0.15628839971368258,0.16464467330260105,5.3467011014425925,YES,STABLE
Factor_11,-0.08633946441663198,0.011602381443010732,113.438097539062,NO,UNSTABLE
Factor_22,0.08258345233496645,0.11541519971040326,39.755842662363015,YES,UNSTABLE
Factor_17,-0.07488232623114843,-0.07930732018608502,5.909263477308945,YES,STABLE
Factor_10,0.06571581591019537,0.026270709392891216,60.02376440278589,YES,UNSTABLE
Factor_25,0.05564412717376932,0.06883823031551208,23.711582536894323,YES,STABLE
Factor_18,0.05337128923819545,-0.033302457150919985,162.39770038586008,NO,UNSTABLE
Factor_9,0.050871385457596396,0.07283423769768102,43.17329288857614,YES,UNSTABLE
Factor_29,0.04829501779797318,0.042075877077281935,12.877396063310384,YES,STABLE
Factor_27,-0.03443416838253466,-0.03587221154033978,4.176209925646157,YES,STABLE
Factor_16,-0.02715412481606716,-0.09471656764311118,248.81097543997132,YES,UNSTABLE
Factor_20,0.02535540982018447,-0.04533118274366586,278.78308047531317,NO,UNSTABLE
Factor_19,0.02009571024947565,0.030458893033898423,51.56912921101245,YES,UNSTABLE
Factor_13,-0.0189794236478128,-0.01502327570515861,20.84440505710561,YES,STABLE
Factor_12,-0.0029406442188566473,0.03295053460246405,1220.5209522175912,NO,UNSTABLE
