Factor,OLS,Ridge,Pct_Change,Dir_Match,Stability
Factor_3,0.32752841494197693,0.3269612731998134,0.17315802730093438,YES,STABLE
Factor_5,0.2096085975709805,0.1548150976942403,26.140864693388966,YES,STABLE
Factor_26,0.20358908468509984,0.1539590070186823,24.377572964278794,YES,STABLE
Factor_24,0.18200548245462933,0.18737875304131088,2.9522575442313994,YES,STABLE
Factor_4,-0.1790970975475813,-0.1790745914716832,0.012566410179885563,YES,STABLE
Factor_0,0.16691269114757112,0.16050536923081585,3.838726625700633,YES,STABLE
Factor_15,0.16462996579277123,0.16550583014764142,0.5320200065963029,YES,STABLE
Factor_21,0.16091847878490517,0.22114983841373667,37.42973466045557,YES,UNSTABLE
Factor_8,-0.14820087205632365,-0.13186986459857644,11.019508341044459,YES,STABLE
Factor_20,0.13381479805621965,0.09308317201461225,30.438805448478735,YES,UNSTABLE
Factor_1,0.1327692408552963,0.134593484043621,1.373995344533861,YES,STABLE
Factor_7,0.13105354412828485,0.11389924625977288,13.089533734181261,YES,STABLE
Factor_14,0.12997611939349007,0.11650768792442244,10.36223541056282,YES,STABLE
Factor_2,-0.12366026849657574,-0.16319473585971575,31.970226042518057,YES,UNSTABLE
Factor_22,-0.11420431875266246,-0.11745988678097856,2.850652290450445,YES,STABLE
Factor_6,0.11377956860254718,0.09842826763510334,13.492142004043565,YES,STABLE
Factor_23,0.08659340377814562,0.09163642865196099,5.82379794970957,YES,STABLE
Factor_17,-0.06805171821809042,-0.07756061008066033,13.973037142274725,YES,STABLE
Factor_27,0.06417289386634062,0.04401753757882838,31.407896813087227,YES,UNSTABLE
Factor_28,-0.06225377595053905,-0.09220190134027736,48.106520339476695,YES,UNSTABLE
Factor_18,0.05626252587099412,0.05947632029167405,5.712140311739525,YES,STABLE
Factor_16,-0.046524258772493055,-0.07812428356783749,67.92160827294596,YES,UNSTABLE
Factor_11,-0.042125596599881854,-0.02749809731288365,34.72354213979068,YES,UNSTABLE
Factor_19,-0.04035355132898211,-0.04080822403207261,1.1267228982742783,YES,STABLE
Factor_13,0.03465904363157035,0.006675683227168515,80.73898605474577,YES,UNSTABLE
Factor_29,0.01476376031666593,0.04092105917654639,177.17233481739095,YES,UNSTABLE
Factor_12,0.010325073466975976,0.016871702559502242,63.40515748837237,YES,UNSTABLE
Factor_9,-0.009483249753071354,0.0032947889469492025,134.74324764970063,NO,UNSTABLE
Factor_25,0.003935284254600602,0.01839443410427337,367.423263840956,YES,UNSTABLE
Factor_10,0.002425046268909492,0.026379737177105123,987.8034582394879,YES,UNSTABLE
